prompt_id,group,category,prompt,in_decoding_sweep
anxiolytic.sleep.p0,anxiolytic,sleep,calm peaceful music for deep sleep,True
anxiolytic.sleep.p1,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,True
anxiolytic.sleep.p2,anxiolytic,sleep,"gentle ambient sleep music, very slow and quiet",False
anxiolytic.sleep.p3,anxiolytic,sleep,relaxing bedtime music with warm soft tones,False
anxiolytic.sleep.p4,anxiolytic,sleep,quiet dreamy music for sleeping through the night,False
anxiolytic.sleep.p5,anxiolytic,sleep,slow hushed music to drift off to sleep,False
anxiolytic.sleep.p6,anxiolytic,sleep,tender nighttime music for restful sleep,False
anxiolytic.sleep.p7,anxiolytic,sleep,soft slow instrumental for winding down at bedtime,False
anxiolytic.sleep.p8,anxiolytic,sleep,tranquil sleep sounds with gentle melody,False
anxiolytic.sleep.p9,anxiolytic,sleep,delicate quiet music to help a baby sleep,False
anxiolytic.anxiety_relief.p0,anxiolytic,anxiety_relief,calming music to relieve anxiety and stress,True
anxiolytic.anxiety_relief.p1,anxiolytic,anxiety_relief,soothing music for panic and anxious thoughts,True
anxiolytic.anxiety_relief.p2,anxiolytic,anxiety_relief,peaceful music to calm my nerves,False
anxiolytic.anxiety_relief.p3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,False
anxiolytic.anxiety_relief.p4,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,False
anxiolytic.anxiety_relief.p5,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,False
anxiolytic.anxiety_relief.p6,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,False
anxiolytic.anxiety_relief.p7,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,False
anxiolytic.anxiety_relief.p8,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,False
anxiolytic.anxiety_relief.p9,anxiolytic,anxiety_relief,serene music that helps anxiety melt away,False
anxiolytic.meditation.p0,anxiolytic,meditation,slow meditation music with soft sustained tones,True
anxiolytic.meditation.p1,anxiolytic,meditation,peaceful ambient music for mindfulness meditation,True
anxiolytic.meditation.p2,anxiolytic,meditation,"serene meditative soundscape, gentle and warm",False
anxiolytic.meditation.p3,anxiolytic,meditation,"calm breathing meditation music, very slow tempo",False
anxiolytic.meditation.p4,anxiolytic,meditation,still and spacious ambient music for deep relaxation,False
anxiolytic.meditation.p5,anxiolytic,meditation,floating ambient drone for quiet meditation,False
